"","Date","JPM"
"281","2/14/2007",39.739895
"282","2/15/2007",39.577595
"283","2/16/2007",39.608521
"284","2/20/2007",39.902199
"285","2/21/2007",39.917648
"286","2/22/2007",39.909924
"287","2/23/2007",39.438492
"288","2/26/2007",39.268467
"289","2/27/2007",38.039627
"290","2/28/2007",38.171013
"291","3/1/2007",38.024181
"292","3/2/2007",37.243595
"293","3/5/2007",36.741253
"294","3/6/2007",37.498638
"295","3/7/2007",37.374989
"296","3/8/2007",37.668667
"297","3/9/2007",37.730492
"298","3/12/2007",37.745964
"299","3/13/2007",36.092045
"300","3/14/2007",36.555767
"301","3/15/2007",36.864906
"302","3/16/2007",36.347095
"303","3/19/2007",36.772167
"304","3/20/2007",36.903538
"305","3/21/2007",37.908253
"306","3/22/2007",37.460003
"307","3/23/2007",37.498638
"308","3/26/2007",37.637753
"309","3/27/2007",37.537277
"310","3/28/2007",37.089027
"311","3/29/2007",37.483181
"312","3/30/2007",37.390442
"313","4/2/2007",37.282238
"314","4/3/2007",37.79594
"315","4/4/2007",37.79594
"316","4/5/2007",37.959381
"317","4/9/2007",38.138405
"318","4/10/2007",38.325207
"319","4/11/2007",38.255161
"320","4/12/2007",38.294067
"321","4/13/2007",38.208458
"322","4/16/2007",38.893394
"323","4/17/2007",39.056854
"324","4/18/2007",40.527905
"325","4/19/2007",40.543468
"326","4/20/2007",40.893719
"327","4/23/2007",40.691341
"328","4/24/2007",40.597946
"329","4/25/2007",41.111649
"330","4/26/2007",41.205044
"331","4/27/2007",40.901497
"332","4/30/2007",40.551254
"333","5/1/2007",40.675785
"334","5/2/2007",40.901497
"335","5/3/2007",41.018242
"336","5/4/2007",40.963749
"337","5/7/2007",41.041595
"338","5/8/2007",40.823666
"339","5/9/2007",41.407413
"340","5/10/2007",40.473412
"341","5/11/2007",40.590172
"342","5/14/2007",40.341106
"343","5/15/2007",40.496765
"344","5/16/2007",41.236187
"345","5/17/2007",40.909279
"346","5/18/2007",40.893719
"347","5/21/2007",40.909279
"348","5/22/2007",40.699131
"349","5/23/2007",40.465633
"350","5/24/2007",40.154293
"351","5/25/2007",40.193214
"352","5/29/2007",40.333309
"353","5/30/2007",40.520111
"354","5/31/2007",40.341106
"355","6/1/2007",40.39558
"356","6/4/2007",40.138744
"357","6/5/2007",39.86631
"358","6/6/2007",39.352615
"359","6/7/2007",38.776642
"360","6/8/2007",39.235851
"361","6/11/2007",39.251423
"362","6/12/2007",38.41082
"363","6/13/2007",39.142464
"364","6/14/2007",39.165806
"365","6/15/2007",39.352615
"366","6/18/2007",39.251423
"367","6/19/2007",39.578327
"368","6/20/2007",38.496445
"369","6/21/2007",38.792213
"370","6/22/2007",37.920471
"371","6/25/2007",37.640266
"372","6/26/2007",37.827076
"373","6/27/2007",38.325207
"374","6/28/2007",38.107273
"375","6/29/2007",37.710335
"376","7/2/2007",38.255161
"377","7/3/2007",38.702267
"378","7/5/2007",38.27084
"379","7/6/2007",38.412037
"380","7/9/2007",38.27084
"381","7/10/2007",37.266823
"382","7/11/2007",37.753151
"383","7/12/2007",38.851303
"384","7/13/2007",39.259182
"385","7/16/2007",39.086636
"386","7/17/2007",39.157215
"387","7/18/2007",38.34145
"388","7/19/2007",38.137497
"389","7/20/2007",37.306038
"390","7/23/2007",36.984432
"391","7/24/2007",35.564671
"392","7/25/2007",35.509758
"393","7/26/2007",34.576321
"394","7/27/2007",34.693993
"395","7/30/2007",35.101864
"396","7/31/2007",34.521412
"397","8/1/2007",34.811657
"398","8/2/2007",34.976364
"399","8/3/2007",34.239052
"400","8/6/2007",35.384262
"401","8/7/2007",35.564671
"402","8/8/2007",36.48241
"403","8/9/2007",34.646915
"404","8/10/2007",34.709675
"405","8/13/2007",34.380222
"406","8/14/2007",33.964497
"407","8/15/2007",33.729168
"408","8/16/2007",35.666634
"409","8/17/2007",36.874619
"410","8/20/2007",36.466732
"411","8/21/2007",36.23925
